id,original_price,speaker_audio_message_count,attachment_count,feedback_score,fee,review_count,reply_message_count,liked_num,people_count,audio_duration,review_score,speaker_message_count,in_promotion,is_refundable,purchasable,has_audition,speaker,tags,subject,created_at,starts_at,index
863042212030742528,9,37,10,4.5,9,46,2,237,248,31084,4.7,51,False,True,True,True,d3dcd04f0ed4bd920cb9d5542eb19316,互联网,小众市场的程序员微型创业,2017-06-27,2017-07-20,1081
795247984865607680,49,85,0,4.5,49,29,0,701,253,52439,4.5,97,False,False,True,True,0d81a29a497b91e0f374ae0508de779d,金融与经济,对话投资圈：选择适合创业的行业,2016-12-22,2017-01-10,2822
855064054308429824,15,64,5,4.5,15,42,4,413,212,71706,4.7,74,False,True,True,True,47c6a312b4b21d915369d33b3bcf04fe,金融与经济,美国留学的那些坑,2017-06-05,2017-07-01,3612
776388343846944768,29,59,0,4.5,29,50,0,209,902,68916,4.3,59,False,False,True,True,50e3c70da979eb49803de7913847159f,职业,在美国四大做审计,2016-10-31,2016-11-06,1556
758368164126916608,39,30,28,4.5,39,34,14,398,504,41056,4.4,65,False,False,True,True,1ed8a4d77a1032eced374159eab3014c,互联网,数字广告行业生态与趋势,2016-09-11,2016-10-09,2429
752096265927405568,19,93,22,4.0,19,15,0,86,307,92889,3.8,146,False,False,True,True,62f8e6fcf3bfc0e3e2281518d5a3014a,科学技术,Android 应用性能优化必知必会,2016-08-25,2016-09-02,2070
839470763747737600,19,32,23,4.5,19,42,4,436,290,36986,4.5,67,False,False,True,True,b72552a5987577235ecaefe62243df14,科学技术,脑机接口会是 AI 的下一个风口,2017-04-23,2017-05-17,4261
898423586203783168,19,0,0,3.5,19,110,0,215,3084,0,3.3,9,False,False,True,False,c6e85ba5d5999df4c5ce2f2903b1ce0e,互联网,「马力全开」来自硅谷的人工智能产品项目经验谈,2017-10-03,2017-10-21,1390
792423196996546560,9,85,24,4.5,9,214,40,1116,2073,50449,4.4,163,False,False,True,True,4548fa13d3ec9a64b413b79d0893a238,科学技术,我们一起开始机器学习吧,2016-12-14,2016-12-22,792
868124599278252032,10,94,12,4.5,10,66,16,482,1472,92544,4.6,117,False,True,True,True,d98018aa7a13a0464305252d641e42b5,互联网,大数据工程师如何实现技术成长？,2017-07-11,2017-08-09,1642
833704481609891840,49,62,8,4.5,49,22,15,301,116,52628,4.7,76,False,False,True,True,cf2d806e3dd888d7e8801872dccb4c8d,教育,如何选择美国名校,2017-04-07,2017-04-19,5445
825669462303870976,19,62,6,4.5,19,38,21,364,321,72333,4.3,82,False,False,True,True,ec411165164a50afc85f544568bf9c5b,教育,MBA 如何自我定位和选校？,2017-03-16,2017-03-25,4011
874300515406729216,19,62,17,4.5,19,46,6,286,204,49426,4.6,80,False,True,True,True,cf2d806e3dd888d7e8801872dccb4c8d,教育,美国顶尖商科类硕士申请指南,2017-07-28,2017-08-15,4913
858713267961487360,9,70,24,4.5,9,164,33,1042,1232,86643,4.7,102,False,True,True,True,b5ee89040cd29553b52b25403b266935,职业,泛金融商科求职面试完全指南,2017-06-15,2017-06-29,1716
817733709208883200,9,96,15,4.5,9,230,38,3030,2725,101588,4.4,114,False,False,True,True,75f71b73109336a0c078469a113b9856,金融与经济,专科生实现金融梦 CPA/VC,2017-02-22,2017-06-17,773
774693971216592896,49,108,10,4.5,49,224,73,989,2683,129247,4.5,163,False,False,True,True,9ae3213bda8c57dc495f65a6e1b29f42,职业,审计新人需要的入门课,2016-10-26,2016-11-13,540
855467828625702912,9,52,2,4.5,9,359,10,2104,2584,60412,4.6,79,False,True,True,True,da971e1f564d733611f6a9a51930c4aa,职业,金融学教授：金融专业学习与就业,2017-06-06,2017-06-18,2795
761225655491784704,39,103,1,4.5,39,84,47,501,1050,111281,4.5,113,False,False,True,True,ad73b2804ee9c0bc33eedc010a67eb4e,音乐、影视和游戏,游戏行业新手指南,2016-09-19,2016-09-25,2432
865556124621996032,9,80,32,4.5,9,93,25,751,570,49111,4.6,126,False,True,True,True,a9c50edaccca8b803e028f33a9b1deab,艺术,执笔方法论—轻松写好硬笔字,2017-07-04,2017-07-18,3842
772444370015105024,29,102,27,4.5,29,1691,69,7949,31913,62387,4.4,166,False,False,True,True,43d5b646c75d00d064d7afd34c7db82b,艺术,💡 硬笔书法入门：写好字从现在开始,2016-10-20,2016-11-12,150
794532532698886144,29,63,34,5.0,29,106,52,1142,2169,46803,4.8,123,False,False,True,True,43d5b646c75d00d064d7afd34c7db82b,教育,💡 怎么把简单的字写的工雅巧丽？,2016-12-20,2017-02-18,1205
812002493801304064,19,45,4,4.5,19,21,25,812,231,125944,4.5,57,False,False,True,True,2c09c597fed16dee573a1468e5c7ffc5,艺术,书法入门的正确途径,2017-02-06,2017-02-25,3569
763734346044555264,29,82,32,4.5,29,280,51,676,3066,57627,4.5,136,False,False,True,True,43d5b646c75d00d064d7afd34c7db82b,教育,💡 硬笔教学：灵飞经笔画精讲,2016-09-26,2016-10-03,1209
794536364300447744,39,53,17,4.5,39,61,37,426,2095,34986,4.7,97,False,False,True,True,43d5b646c75d00d064d7afd34c7db82b,教育,💡 从写好「点」到写好字,2016-12-20,2017-03-11,1211
860853595967455232,29,110,26,5.0,29,64,1,166,161,82468,4.9,146,False,True,True,True,0315e9839e6c9034fb19423c4f07b415,教育,Rex 口语练习课堂 01,2017-06-21,2017-06-30,4384
804800549064183808,9,125,24,4.5,9,425,85,2584,4375,36863,4.4,181,False,False,True,True,e09139e746335b11b7a07d6cb6b3dfc3,体育,如何长期拥有性感腹肌马甲线？,2017-01-17,2017-02-15,367
855062032565817344,9,92,36,4.5,9,146,54,1390,1823,31530,4.6,168,False,True,True,True,e09139e746335b11b7a07d6cb6b3dfc3,体育,最适合久坐族的健身动作！,2017-06-05,2017-06-23,3718
860483330716626944,9,182,41,4.5,9,582,86,4203,4435,80863,4.6,264,False,True,True,True,a6b5bcf467d7652d8ef3b6d61e184e15,体育,如何矫正不漂亮的腿型,2017-06-20,2017-07-05,957
788058658234732544,29,45,11,4.5,29,111,30,1247,728,63786,4.5,63,False,False,True,True,5baef47bcef1eddb2fc4b5023fc8f420,职业,如何从零基础到五星酒店甜品师,2016-12-02,2016-12-27,1495
822040188158111744,9,78,14,4.5,9,63,3,281,781,57244,4.6,105,False,False,True,True,d1c56210cfdd3d1e11ea817c55b9c952,职业,海归博士国企总裁谈职场捷径,2017-03-06,2017-03-19,3090
840265585467207680,10,177,18,4.5,10,154,156,568,1130,93239,4.7,251,False,True,True,True,13de39b981c8ada8131c0fbb212a7667,互联网,Android 程序员的那些事,2017-04-25,2017-05-21,2069
827896958713737216,9,55,1,4.0,9,71,36,686,924,59128,4.0,58,False,False,True,True,fe9dfbda2ae4eceec4818c937a1eafc5,职业,如何选择职场的第一份工作,2017-03-22,2017-04-15,2519
775336857163538432,9,109,6,5.0,9,308,85,1225,2382,179874,4.8,137,False,False,True,True,6fcba9c4b05b3a1000190c942615c4d2,职业,举手！我想当个老师,2016-10-28,2016-11-08,1096
797494165444390912,9,123,3,4.5,9,248,43,1405,1597,81606,4.7,176,False,False,True,True,19e8ce92d4e3ee8dc62fd080ad894fc4,职业,在职场憋屈时，我这样调整自己,2016-12-28,2017-01-21,888
831096336773423104,9,81,7,4.5,9,174,25,903,984,104519,4.5,92,False,False,True,True,184f751e992aa9232e0d1e52bcf3aed4,职业,如何处理好与上司的关系,2017-03-31,2017-04-14,154
858770074620788736,9,98,27,4.5,9,89,29,1543,690,135151,4.5,141,False,True,True,True,56df3179348fa8ee94b895971bca723e,职业,从学生模式到职业模式的进化,2017-06-15,2017-07-10,4411
822805050354184192,9,31,4,4.5,9,223,21,620,1244,27412,4.3,66,False,False,True,True,ee6fe2f2338c3369222828110f18be6f,体育,怎么成为健身教练的？,2017-03-08,2017-03-12,4289
859007078554021888,29,156,10,5.0,29,395,1,1193,1781,79029,4.9,175,False,True,True,True,a09cb3275361301c464d79494cc9c12b,金融与经济,专注练好内功，无需伪装精英 - 投行进阶之路（二）,2017-06-16,2017-07-22,108
854000381750018048,9,81,11,4.5,9,74,6,422,437,57975,4.4,101,False,True,True,True,3c125372f76dfa785a6d004dc01efe84,体育,健身房如何“面试”健身教练,2017-06-02,2017-06-10,4342
802111846533439488,9,123,0,4.5,9,612,84,7222,5982,147441,4.4,157,False,False,True,True,d842a97ae83c74a90ba1303d3487c1fa,职业,从月薪 700 到年薪百万的经验之谈,2017-01-10,2017-01-16,763
