50,0,14,481,0,17,0,0,511,1208,26,72,0,0,0,148,140,0,19,60,1,4,32,54,164,589,2,1,1,3,1,1,1,1,5,407,1
41,0,2,0,23,13,23,1,0,3,77,0,0,0,0,15,0,0,32,412,133,5,294,13,1327,1978,2,1,1,1,1,1,1,1,11,174,1
325,0,1,2,15,39,15,6,1,22,185,3,0,0,0,164,1,0,0,0,0,4.5,131,0,56,4548,2,1,1,1,1,1,1,2,9,692,1
101,0,6,92,10,4,10,0,18,889,46,19,0,0,0,262,12,0,29,61,4,4.5,2399,17,4491,28103,1,1,1,3,1,1,1,1,7,5,1
2038,0,27,312,25,66,25,24,65,204,97,24,1,1,0,226,51,0,9,60,1,3.5,23,35,87,554,1,1,1,1,1,1,1,1,3,604,1
101,0,0,0,70,4,70,11,0,4,20,1,0,0,0,599,0,0,19,66,3,4.5,960,23,4507,5053,1,1,1,3,1,1,1,1,10,25,1
656,0,0,30770,40,38,40,26,50155,5395,54,91,0,25,0,353,7945,0,19,108,26,4.5,1021,71,12001,7668,1,1,1,1,1,1,1,1,10,165,1
297,0,20,29,15,33,15,2,24,17,20,20,0,0,0,54,10,0,19,77,0,4.5,218,73,197,3062,2,1,1,1,1,1,1,1,12,47,1
1,0,0,0,0,8,0,0,2,114,24,0,0,0,0,27543,0,0,9,53,0,4.5,16,0,159,133,1,1,1,1,1,1,1,1,4,390,1
29,0,10,0,17,1,17,0,0,0,9,0,0,0,0,1,0,0,9,117,4,4.5,2069,30,15179,10288,1,1,1,2,1,2,1,1,2,128,1
249,0,6,0,15,36,15,20,0,9,41,0,2,0,0,167,0,0,12,69,18,4,31,20,107,458,1,1,1,1,1,1,1,1,6,483,1
107,0,5,46,17,76,17,44,9,13,112,22,2,0,0,695,5,0,9,64,0,4.5,3221,75,8620,35326,1,1,1,1,1,1,1,1,8,47,1
0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,29,89,11,5,35,18,184,234,1,1,1,2,1,1,1,1,4,350,0
301,0,8,3732,75,22,74,17,1384,1757,40,146,4,3,0,550,798,1,0,0,0,4.5,387,0,108,31074,2,1,1,1,1,1,1,2,11,500,1
71,0,14,0,19,9,19,2,0,13,1,1,0,0,0,61,0,0,49,94,9,4.5,956,48,4808,6502,1,1,1,1,1,1,1,1,5,169,1
13,0,22,0,20,0,20,0,0,1,33,11,0,0,0,14,0,0,69,63,2,4.5,133,10,696,2974,2,1,1,3,1,1,1,1,7,8,1
2,0,1,0,12,3,12,0,0,2,23,2,3,0,0,11,0,0,19,107,22,4.5,206,10,365,19794,1,1,1,3,1,2,1,1,10,58,0
145,0,8,0,8,10,8,8,0,11,74,0,0,0,0,163,0,0,9,77,26,4.5,27,11,108,366,1,1,1,1,1,2,1,1,4,1044,1
0,0,1,0,11,0,11,0,0,0,8,0,2,0,0,9,0,0,69,43,4,4.5,94,20,1332,2413,1,1,1,1,1,1,1,1,6,41,1
1406,0,15,43,14,311,14,645,4,31,354,30,0,0,0,1211,11,0,9,65,19,5,37,13,61,220,2,1,1,1,1,2,1,1,3,1946,0
17,0,1,0,17,2,17,0,0,1,11,0,0,0,0,0,0,0,29,0,0,4.5,1100,0,10332,18222,1,1,1,2,1,1,1,2,2,570,1
139,0,3,13151,0,16,0,12,21095,4163,32,6,1,1,0,47,2854,0,49,106,41,4,29,39,291,695,2,1,1,3,1,1,1,1,4,7,1
598,0,0,0,20,9,20,6,0,7,50,0,0,0,0,147,0,0,9,197,44,5,224,137,177,842,1,1,1,2,1,1,1,2,2,332,0
11,0,5,0,11,0,11,0,0,1,45,0,0,0,0,2,0,0,68,94,2,5,255,43,1270,2404,1,1,1,3,1,1,1,1,15,16,0
935,0,8,1,16,42,16,35,0,9,57,3,1,0,0,2018,0,0,29,102,27,4.5,1691,69,7949,31913,1,1,1,2,1,1,1,1,11,19,1
39,0,2,0,0,24,0,9,0,7,24,0,0,0,0,32,0,0,9,65,40,0,4,12,2,144,1,1,1,1,1,2,1,1,4,194,0
21,0,5,0,16,2,16,0,0,0,20,0,0,0,0,3,0,0,19,57,12,5,23,0,165,112,1,1,1,2,1,1,1,1,6,800,0
0,0,0,0,20,0,20,0,0,0,1,0,0,0,0,0,0,0,19,45,14,4.5,90,10,153,91989,1,1,1,3,1,2,1,1,2,8,1
147,0,3,0,46,8,46,0,0,3,79,0,0,0,0,53,0,0,19,61,14,4.5,44,27,255,550,1,1,1,1,1,1,1,1,14,52,1
236,0,6,0,20,13,20,2,0,2,39,0,0,0,0,31,0,0,19,67,18,4.5,102,15,1273,1221,1,1,1,2,1,2,1,1,5,226,1
79,0,0,0,10,5,10,0,0,3,24,4,0,0,0,260,2,0,19,50,19,4.5,403,12,2194,2969,1,1,1,1,1,2,1,1,9,492,0
129,0,7,0,23,17,23,1,0,1,26,0,0,0,0,15,0,0,9,55,1,4,71,36,686,924,1,1,1,2,1,1,1,1,3,36,0
132,0,1,755,22,29,22,30,148,61,43,79,1,0,0,237,153,0,66,41,0,3,274,40,740,3654,1,1,1,3,1,1,1,1,3,545,1
